State,Specialty,Count,state_total,specialty_total,expected,location_quotient
GU,Dentist,6,176,131246.0,16.735806733940382,0.3585127442845011
DC,Dentist,313,5191,131246.0,493.61120884025297,0.6341022942639375
RI,Dentist,383,5750,131246.0,546.7664131827113,0.7004819439631784
DE,Dentist,290,4341,131246.0,412.7848695002,0.7025451304722774
ME,Dentist,513,7200,131246.0,684.6466391157429,0.7492916355546073
WV,Dentist,618,8487,131246.0,807.0272258576819,0.7657734215140141
SD,Dentist,296,4029,131246.0,383.1168484718511,0.7726102393582102
ND,Dentist,260,3423,131246.0,325.49242301294277,0.798789715573998
AR,Dentist,902,11827,131246.0,1124.6271945585959,0.8020435610700534
NY,Dentist,8081,104092,131246.0,9898.088605393876,0.8164202526532578
TN,Dentist,2281,29129,131246.0,2769.8711042781215,0.823504023879288
NH,Dentist,561,7126,131246.0,677.6099931026089,0.8279098680810764
PA,Dentist,5126,64171,131246.0,6102.008260930046,0.8400513045550537
LA,Dentist,1649,20543,131246.0,1953.429987132598,0.844156182131992
OH,Dentist,4366,53444,131246.0,5081.979858458578,0.859113991318387
KY,Dentist,1571,19073,131246.0,1813.6479649798005,0.8662099979350166
VT,Dentist,238,2878,131246.0,273.66847602432057,0.8696653829389149
MO,Dentist,2163,25377,131246.0,2413.0941334500285,0.896359561782836
IA,Dentist,1128,13211,131246.0,1256.2314929663999,0.8979236759431969
NC,Dentist,3775,44019,131246.0,4185.758389893873,0.9018676302756482
CT,Dentist,1677,19551,131246.0,1859.1008946322067,0.9020489446495412
AL,Dentist,1533,17811,131246.0,1693.6446235125688,0.9051485646502413
SC,Dentist,1855,21448,131246.0,2039.4862660770073,0.909542775969818
MN,Dentist,2215,25375,131246.0,2412.903953828052,0.9179810064490636
MS,Dentist,939,10666,131246.0,1014.2279240011824,0.9258273981410369
WI,Dentist,2292,25408,131246.0,2416.041917590666,0.948659037458107
GA,Dentist,3360,36843,131246.0,3503.393906241849,0.9590700018098536
IN,Dentist,2404,26170,131246.0,2488.500353563749,0.9660436642322606
MT,Dentist,448,4847,131246.0,460.9003138602786,0.9720106203611975
MD,Dentist,2476,26786,131246.0,2547.07567713254,0.9720951843831527
KS,Dentist,1063,11495,131246.0,1093.0573773104811,0.9725015557880057
MA,Dentist,3739,39945,131246.0,3798.3624999275485,0.9843715548664245
AZ,Dentist,2760,29429,131246.0,2798.3980475746107,0.9862785611904316
PR,Dentist,1069,11379,131246.0,1082.0269592358386,0.98796059643002
FL,Dentist,8912,93928,131246.0,8931.595766508819,0.9978060173096617
NM,Dentist,788,8297,131246.0,788.9601617699053,0.9987830034817584
MI,Dentist,4553,46434,131246.0,4415.400283430612,1.0311635882902281
WA,Dentist,3205,32568,131246.0,3096.884964266877,1.034910898202742
VA,Dentist,3199,32413,131246.0,3082.146043563691,1.0379131795783427
OR,Dentist,1915,19079,131246.0,1814.2185038457303,1.0555509140385437
VI,Dentist,19,187,131246.0,17.781794654811655,1.0685085712008662
CO,Dentist,2491,23912,131246.0,2273.7875603521725,1.0955289066733152
AK,Dentist,319,3054,131246.0,290.40428275826093,1.0984686484997288
WY,Dentist,229,2187,131246.0,207.9614166314069,1.1011658013749834
NE,Dentist,887,8338,131246.0,792.8588440204255,1.1187363383653564
OK,Dentist,1494,14030,131246.0,1334.1100481658157,1.1198476482910888
ID,Dentist,798,7492,131246.0,712.4128639243257,1.120136988549333
IL,Dentist,5697,53002,131246.0,5039.950162001751,1.1303683204949162
TX,Dentist,10122,92813,131246.0,8825.570627256868,1.1468946799586242
NV,Dentist,1169,10293,131246.0,978.7594245025474,1.1943690867591308
NJ,Dentist,4348,36308,131246.0,3452.52085736311,1.2593696547052347
CA,Dentist,16755,139057,131246.0,13222.903846599702,1.267119552132914
HI,Dentist,600,4975,131246.0,473.07180966678067,1.2683063918406472
UT,Dentist,1395,11191,131246.0,1064.1500747700386,1.310905325361611
