State,Specialty,total_cost_PR,total_claims_PR,cost_per_claim_PR,total_cost_national,total_claims_national,cost_per_claim_national,cost_per_claim_diff
PR,Medical Oncology,1023911.4700000001,259.0,3953.33,4155297017.4400005,1994927.0,2082.93,1870.4
PR,Nurse Practitioner,2363141.55,818.0,2888.93,32975475449.620117,235237890.0,140.18,2748.75
PR,Hematology-Oncology,242628500.32999998,96209.0,2521.89,13919906045.320004,6469068.0,2151.76,370.12999999999965
PR,Hematology,2600052.4099999997,1046.0,2485.71,1015073493.6199999,346605.0,2928.62,-442.90999999999985
PR,Adult Congenital Heart Disease,121814.08,64.0,1903.35,20197292.490000002,15805.0,1277.91,625.4399999999998
PR,Infectious Disease,8724651.21,8440.0,1033.73,3288254671.72,3184293.0,1032.65,1.0799999999999272
PR,Gynecological Oncology,623167.3799999999,626.0,995.48,104829586.11000001,136867.0,765.92,229.56000000000006
PR,Rheumatology,171697240.79999998,345565.0,496.86,7790991291.059998,10497357.0,742.19,-245.33000000000004
PR,Allergy/ Immunology,8851952.430000002,18725.0,472.73,1247762356.5899982,2418380.0,515.95,-43.22000000000003
PR,Pulmonary Disease,136717333.25999993,400576.0,341.3,7908221073.109996,12998831.0,608.38,-267.08
PR,Dermatology,53780507.66,167997.0,320.13,2713724508.6600037,8775215.0,309.25,10.879999999999995
PR,Endocrinology,192934814.4500001,817455.0,236.02,8727670362.610006,16744055.0,521.24,-285.22
PR,Advanced Heart Failure and Transplant Cardiology,2301749.24,9949.0,231.35,1076759676.8700006,1510051.0,713.06,-481.7099999999999
PR,Pharmacist,24482338.28,127113.0,192.6,1336124749.209999,4522799.0,295.42,-102.82000000000002
PR,Optometry,206007.62,1071.0,192.35,1225339612.8700018,6952849.0,176.24,16.109999999999985
PR,Clinical Cardiac Electrophysiology,3230762.8600000003,16889.0,191.29,1231890690.2999997,4017786.0,306.61,-115.32000000000002
PR,Neurology,98603533.21999998,537594.0,183.42,7845842919.720004,19177440.0,409.12,-225.70000000000002
PR,Pharmacy,40498.10999999999,277.0,146.2,2518916.4299999997,12381.0,203.45,-57.25
PR,Nephrology,34911760.85999999,248480.0,140.5,2009607617.729995,11641839.0,172.62,-32.120000000000005
PR,Neurosurgery,311474.00000000006,2371.0,131.37,38685099.83,547700.0,70.63,60.74000000000001
PR,Interventional Radiology,100180.10999999999,830.0,120.7,16383612.979999997,91985.0,178.11,-57.41000000000001
PR,Urology,30022658.390000008,251806.0,119.23,2772563175.789995,13077448.0,212.01,-92.77999999999999
PR,Preventive Medicine,1206431.2600000002,11911.0,101.29,154605427.66999996,682113.0,226.66,-125.36999999999999
PR,Vascular Surgery,876237.0,8969.0,97.7,93179793.81999998,576516.0,161.63,-63.92999999999999
PR,Gastroenterology,33024600.31000001,354200.0,93.24,4213147500.0099998,10880798.0,387.21,-293.96999999999997
PR,Medical Genetics and Genomics,2605.27,28.0,93.05,74574586.47,9448.0,7893.16,-7800.11
PR,Other Clinic/Center,638736.9000000003,7150.0,89.33,1004040.4400000004,11332.0,88.6,0.730000000000004
PR,Ophthalmology,66723379.65999999,755988.0,88.26,3655299126.6899858,25758233.0,141.91,-53.64999999999999
PR,Interventional Cardiology,2089906.23,24242.0,86.21,2277793752.069995,13375627.0,170.29,-84.08
PR,Cardiac Surgery,142885.48,1676.0,85.25,24637214.430000007,178371.0,138.12,-52.870000000000005
PR,Clinic or Group Practice,112307.36000000002,1320.0,85.08,3120750.1000000006,45929.0,67.95,17.129999999999995
PR,Internal Medicine,515807606.83999944,6182489.0,83.43,33988380645.789986,324890230.0,104.61,-21.179999999999993
PR,Pathology,3832.59,46.0,83.32,9954357.479999997,55241.0,180.2,-96.88
PR,Obstetrics & Gynecology,6742784.66,82593.0,81.64,573039219.6400007,4016959.0,142.65,-61.010000000000005
PR,Physician Assistant,4807.77,62.0,77.54,11862386466.199999,84261318.0,140.78,-63.239999999999995
PR,Cardiology,130023539.53999993,1710607.0,76.01,11958113730.829964,61345489.0,194.93,-118.92
PR,Nuclear Medicine,203698.25999999995,2714.0,75.05,23897641.46,130875.0,182.6,-107.55
PR,Geriatric Medicine,5463827.539999997,79685.0,68.57,609416271.5000004,8748444.0,69.66,-1.0900000000000034
PR,Health Maintenance Organization,391117.31,6337.0,61.72,494490.95,8189.0,60.38,1.3399999999999963
PR,Community Health Worker,221929.14999999997,3639.0,60.99,227318.85999999996,3695.0,61.52,-0.5300000000000011
PR,Specialist,4345488.830000001,73825.0,58.86,92862541.78,525426.0,176.74,-117.88000000000001
PR,Critical Care (Intensivists),15472.720000000001,277.0,55.86,794404004.2299995,1145245.0,693.65,-637.79
PR,Family Practice,114276201.05999999,2144499.0,53.29,29496581029.42039,356827924.0,82.66,-29.369999999999997
PR,Student in an Organized Health Care Education/Training Program,1377928.35,26512.0,51.97,326697673.27000016,2983694.0,109.49,-57.519999999999996
PR,Plastic Surgery,23179.309999999994,454.0,51.06,1018593.6699999999,39370.0,25.87,25.19
PR,General Practice,501944064.2,10036483.0,50.01,1833817598.8400028,24917058.0,73.6,-23.589999999999996
PR,Osteopathic Manipulative Medicine,722351.72,14719.0,49.08,111222559.46000001,968772.0,114.81,-65.73
PR,Pediatric Medicine,361681.71,7775.0,46.52,394508214.4799997,1892100.0,208.5,-161.98
PR,Thoracic Surgery,16389.25,355.0,46.17,8021384.849999999,146745.0,54.66,-8.489999999999995
PR,Family Medicine,2506413.21,55025.0,45.55,37705599.67999999,507160.0,74.35,-28.799999999999997
PR,"Neuromusculoskeletal Medicine, Sports Medicine",368322.7900000001,8365.0,44.03,900995.7800000001,18842.0,47.82,-3.789999999999999
PR,Peripheral Vascular Disease,221312.80000000005,5086.0,43.51,12942365.67,62514.0,207.03,-163.52
PR,Legal Medicine,794616.9600000002,18827.0,42.21,10918229.879999999,98775.0,110.54,-68.33000000000001
PR,Contractor,288269.28,7023.0,41.05,328124.71,7800.0,42.07,-1.0200000000000031
PR,Anesthesiology,896923.07,22520.0,39.83,272394665.3499998,4680894.0,58.19,-18.36
PR,Emergency Medicine,2613052.4000000004,70878.0,36.87,736944447.57,10131767.0,72.74,-35.87
