State,Specialty,total_cost,total_claims,cost_per_claim
PR,Medical Oncology,1023911.4700000001,259.0,3953.33
PR,Nurse Practitioner,2363141.55,818.0,2888.93
PR,Hematology-Oncology,242628500.33,96209.0,2521.89
PR,Hematology,2600052.4099999997,1046.0,2485.71
PR,Adult Congenital Heart Disease,121814.08,64.0,1903.35
PR,Infectious Disease,8724651.21,8440.0,1033.73
PR,Gynecological Oncology,623167.38,626.0,995.48
PR,Rheumatology,171697240.80000004,345565.0,496.86
PR,Allergy/ Immunology,8851952.430000002,18725.0,472.73
PR,Pulmonary Disease,136717333.26,400576.0,341.3
PR,Dermatology,53780507.65999999,167997.0,320.13
PR,Endocrinology,192934814.45000008,817455.0,236.02
PR,Advanced Heart Failure and Transplant Cardiology,2301749.24,9949.0,231.35
PR,Pharmacist,24482338.28,127113.0,192.6
PR,Optometry,206007.62,1071.0,192.35
PR,Clinical Cardiac Electrophysiology,3230762.8600000003,16889.0,191.29
PR,Neurology,98603533.22000001,537594.0,183.42
PR,Pharmacy,40498.10999999999,277.0,146.2
PR,Nephrology,34911760.85999999,248480.0,140.5
PR,Neurosurgery,311474.00000000006,2371.0,131.37
PR,Interventional Radiology,100180.10999999999,830.0,120.7
PR,Urology,30022658.389999997,251806.0,119.23
PR,Preventive Medicine,1206431.2600000002,11911.0,101.29
PR,Vascular Surgery,876237.0000000001,8969.0,97.7
PR,Gastroenterology,33024600.310000002,354200.0,93.24
PR,Medical Genetics and Genomics,2605.27,28.0,93.05
PR,Other Clinic/Center,638736.9000000003,7150.0,89.33
PR,Ophthalmology,66723379.660000004,755988.0,88.26
PR,Interventional Cardiology,2089906.2300000004,24242.0,86.21
PR,Cardiac Surgery,142885.47999999998,1676.0,85.25
PR,Clinic or Group Practice,112307.36000000002,1320.0,85.08
PR,Internal Medicine,515807606.83999974,6182489.0,83.43
PR,Pathology,3832.59,46.0,83.32
PR,Obstetrics & Gynecology,6742784.659999999,82593.0,81.64
PR,Physician Assistant,4807.77,62.0,77.54
PR,Cardiology,130023539.53999995,1710607.0,76.01
PR,Nuclear Medicine,203698.25999999995,2714.0,75.05
PR,Geriatric Medicine,5463827.539999999,79685.0,68.57
PR,Health Maintenance Organization,391117.31,6337.0,61.72
PR,Community Health Worker,221929.14999999997,3639.0,60.99
PR,Specialist,4345488.83,73825.0,58.86
PR,Critical Care (Intensivists),15472.720000000001,277.0,55.86
PR,Family Practice,114276201.05999993,2144499.0,53.29
PR,Student in an Organized Health Care Education/Training Program,1377928.3499999996,26512.0,51.97
PR,Plastic Surgery,23179.309999999998,454.0,51.06
PR,General Practice,501944064.19999933,10036483.0,50.01
PR,Osteopathic Manipulative Medicine,722351.72,14719.0,49.08
PR,Pediatric Medicine,361681.7100000001,7775.0,46.52
PR,Thoracic Surgery,16389.25,355.0,46.17
PR,Family Medicine,2506413.21,55025.0,45.55
PR,"Neuromusculoskeletal Medicine, Sports Medicine",368322.7900000001,8365.0,44.03
PR,Peripheral Vascular Disease,221312.80000000005,5086.0,43.51
PR,Legal Medicine,794616.9600000002,18827.0,42.21
PR,Contractor,288269.28,7023.0,41.05
PR,Anesthesiology,896923.07,22520.0,39.83
