State,Specialty,Count,state_total,specialty_total,expected,location_quotient
TN,Nurse Practitioner,8955,29129,258700.0,5459.714236447206,1.6401957340952844
WI,Nurse Practitioner,4951,25408,258700.0,4762.278805302297,1.0396283381156899
MI,Nurse Practitioner,6978,46434,258700.0,8703.22945707678,0.8017713464196948
NY,Internal Medicine,10915,104092,128195.0,9667.993453274523,1.1289829738458417
MO,Internal Medicine,2373,25377,128195.0,2356.9983270928365,1.0067890047791848
UT,Otolaryngology,118,11191,10640.0,86.26972856737129,1.367803074839274
NY,Family Practice,4907,104092,116485.0,8784.868500368055,0.5585740981546182
IL,Family Practice,4702,53002,116485.0,4473.116092077274,1.051168783284682
NY,Psychiatry & Neurology,2160,104092,15996.0,1206.3592439531906,1.790511417578869
MN,Psychiatry,503,25375,23900.0,439.39171095873735,1.1447644264896841
OH,Psychiatry & Neurology,325,53444,15996.0,619.3815416538669,0.524716960618794
TN,Dentist,2281,29129,131246.0,2769.8711042781215,0.823504023879288
KS,Obstetrics & Gynecology,276,11495,34222.0,285.01142561540377,0.9683822303055182
NY,Otolaryngology,774,104092,10640.0,802.4295046050229,0.9645707137613083
OH,Emergency Medicine,2366,53444,54586.0,2113.6259585345074,1.1194033601103561
AL,Dentist,1533,17811,131246.0,1693.6446235125688,0.9051485646502413
MO,Family Practice,2269,25377,116485.0,2141.6978051515975,1.0594398493299064
OK,Nurse Practitioner,2696,14030,258700.0,2629.6745764480174,1.0252219130633153
IL,Surgery,27,53002,465.0,17.856367625152874,1.5120656432928277
MI,Dentist,4553,46434,131246.0,4415.400283430612,1.0311635882902281
WI,Podiatry,231,25408,15771.0,290.32044467886556,0.7956725206022534
MT,Dentist,448,4847,131246.0,460.9003138602786,0.9720106203611975
IL,Internal Medicine,6236,53002,128195.0,4922.789349906393,1.2667614957196123
WA,Optometry,904,32568,33182.0,782.9635713416295,1.154587560760932
CA,Family Medicine,151,139057,1018.0,102.56248659645625,1.4722731966720604
IL,Otolaryngology,403,53002,10640.0,408.58441189597113,0.9863322933196165
OK,Dentist,1494,14030,131246.0,1334.1100481658157,1.1198476482910888
