State,gap_count,avg_lq
WY,26,0.34615385760899936
WV,23,0.3417404993788777
ID,22,0.33876919270862255
PR,22,0.267335825828119
AR,20,0.3690426508535472
NC,16,0.2947475644809183
MS,16,0.28561830156896134
CO,16,0.3461622957022305
AK,14,0.36516951014228877
IA,14,0.31209550094277905
ME,13,0.30586028178075
MA,13,0.3401728967600868
SD,13,0.29481897216578357
MT,13,0.38351552650458387
IL,12,0.3971688032361989
IN,12,0.3789641287235721
OH,12,0.3665148966507079
NV,12,0.3260827879659858
NM,12,0.35464168099753324
ND,12,0.35861073896564233
CT,11,0.35727979511257624
TX,11,0.3689214395520368
VT,11,0.3351964181536811
WI,11,0.36167569684981243
MI,11,0.3273577339090705
MN,11,0.3435741835685681
AL,11,0.3464118997889558
PA,11,0.3075890452509531
AZ,10,0.335713151207661
DC,10,0.34004622651468763
NE,10,0.33279223468215363
LA,10,0.33299454472438184
DE,9,0.35925524254689023
NH,9,0.3080826187676615
KS,9,0.3811731755113114
OK,9,0.3783952583272996
SC,9,0.4030155991050874
FL,8,0.38806921424583035
WA,8,0.35945710025622624
VA,8,0.39325373236271916
RI,8,0.3299831171721605
KY,8,0.3999574299232683
OR,8,0.34718314150570295
MD,8,0.30367685601529354
UT,7,0.31617980654022304
NJ,7,0.31006542571281887
CA,6,0.2744513081593826
NY,6,0.3198601393519234
TN,5,0.45089771501851034
HI,5,0.3590236857764495
GA,5,0.36923732699015765
GU,4,0.44069414495528486
VI,3,0.3781090519188111
MO,2,0.3811581281651061
MP,1,0.3286366822607927
